# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 k=1.000000e-02 rate=None path=static
# push driver: sp-loadcontrol — the fork's own idiom (`Ladruno_files/testbed/hypo_bearing/bearing_backbone.py`, `sanisand_tau0_band.py`): `loadConst -time uz0` at the S4 settlement datum, a `Linear` series, `sp <platen node> 3 1.0`, and `integrator LoadControl -ds` a step on the SP platen.  PSEUDO-TIME IS THE SETTLEMENT, so `ops_Dt` is d(s) — positive, monotone, and smaller under subdivision rather than turned round — which is the clock ADR 92 D2's default `-implexDt pseudo` is correct on, and which leaves the D2 sign-change guard live as a limit-point detector.
# `time` on this curve is PSEUDO-TIME AND PSEUDO-TIME IS THE SETTLEMENT: it is a metre, it starts at the S4 datum uz0 and it walks down by ds a step, so s_m = uz0 - time exactly.  It is NOT a load factor and NOT a second.  `Q_check_kN` is the summed PLATEN reaction, not `getTime()`; `Q_kN` is the base-reaction difference and is unchanged in meaning from every other leg
# integrator: newton   ladder=strict   element=LadrunoBrick   rungs=Newton:25:x1.0|NewtonLineSearch:40:x1.0   `relaxed` is the index of the rung that carried the step
# tangent: TanType 2 -- 2 = mCep_Consistent, the CONSISTENT (algorithmic) tangent -- unsymmetric under non-associated flow, which is why `system Pardiso` at its default unsymmetric mtype 11 is the declared solver
# test: NormUnbalance declared 1e-05, absolute 5.997400e-02 -- RELATIVE to the model's own weight: 1e-05 x W_ref = 5.997400e-02 kN, with W_ref = 5997.4000 kN (gamma' * V on the ndf-3 twin + surcharge 700.0000 kN).  The same relative number is the same physical requirement on every mesh of the refinement sequence, which is the whole reason it is declared this way (ADR 90 section 1.2.2)
# stress update: IMPL-EX (`-implex` -implexControl 0.1 0.01 -maxSubsteps 20000).  Every global iteration sees a LINEAR EXTRAPOLATION from the last committed step; the true substepped return runs ONCE, at commitState, and the committed state is always the implicit one.  dt source: `pseudo` (the fork's default, ADR 92 D2)
# READ THIS BEFORE QUOTING A LIMIT POINT off this curve: it satisfies equilibrium with the EXTRAPOLATED stress, not the implicit one, so a peak, plateau or capacity here IS NOT EVIDENCE ON ITS OWN.  Confirm it on the implicit material, over the OVERLAP ONLY (two arms disagreeing past where the implicit run reaches proves nothing either way), and quote `implex_err_max` beside the verdict.  IMPL-EX is a REGULARIZER whose parameter is the STEP SIZE and which carries NO LENGTH, so no band width and no post-peak branch off this curve is mesh-independent (guide sect. 8 and What it does not do)
# implex_err_max = max |implexError| over EVERY SANISAND Gauss point at that row's commit -- a true max, not a sample, because the point about to be wrong is the one under the footing edge
# residual pressure: -Presidual 1.01 kPa on EVERY `LadrunoSANISAND` tag of this leg -- THE VANILLA TWIN: 1.01 kPa is vanilla `ManzariDafalias`'s own hardcoded 1.0e-2 * P_atm (ManzariDafalias.cpp:836), measured bit-identical to vanilla over 400 rows at G1, so this is vanilla's soil reached through the class that carries `-implex`.  -Pmin 0.0101 kPa
# subdivision budget: 60 failed attempts, CUMULATIVE over the whole push and never repaid on a success; ds halves on each and regrows to ds_max after 6 successes, ds_min 1.95e-07 m
# ladder strict: the sheet's KrylovNewton rung at TEN TIMES the declared tolerance is DROPPED, so no state on this curve was committed at a tolerance the leg did not declare.  `relaxed` can only be 0 or 1 here; on a full-ladder curve it can be 2
# element: the DRAINED ndf-3 `LadrunoBrick` TWIN — the same mesh, the same material and the same footing with the pressure DOF REMOVED and the buoyant unit weight applied directly as -b 0 0 -9.81 (a FORCE PER UNIT VOLUME).  `p_min_kPa` is NaN on every row BY CONSTRUCTION; the cavitation detector and the far-field pore-pressure gate are SKIPPED with a reason, and the base-reaction gate is recomputed at gamma'*V
# ring point: element tag 4047 at centroid (+1.250, +0.250, -0.250) m, Gauss point 5 of 8 at (+1.1057, +0.1057, -0.1057) m.  top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# ring_clamp_fired = implexDetail[3], the p_min clamp inside the EXTRAPOLATED update on this step at that one point; ring_clamp_count = implexDetail[4], the same clamp's cumulative count; ring_ref_* = the four implexRefusals slots (total, D2 pseudo-time sign change, past -implexControl, companion hit -maxSubsteps).  THE LEDGER IS PROCESS-WIDE and the clamp census is ONE POINT: a rise in the ledger on a step where this clamp fired is evidence about this point, and a rise on a step where it did not is evidence that the refusal was somewhere else
step,time,s_m,s_over_B,Q_kN,k_norm,k_norm_firststep,Q_check_kN,Rz_base_kN,p_min_kPa,ds_m,relaxed,cum_iter,wall_s,implex_err_max,ring_clamp_fired,ring_clamp_count,ring_ref_total,ring_ref_sign_change,ring_ref_control,ring_ref_companion
28,-0.00226019404,0.00125,0.000833333333,107.167679,1.52286751,0.749037813,107.169214,6104.56768,nan,5e-05,0,63,61.8691201,0.000722948623,0,0,140,0,140,0
29,-0.00231019404,0.0013,0.000866666667,110.905149,1.51639671,0.745855085,110.90669,6108.30515,nan,5e-05,0,65,63.8977218,0.000668623905,0,0,140,0,140,0
30,-0.00236019404,0.00135,0.0009,114.630626,1.51024315,0.742828396,114.632171,6112.03063,nan,5e-05,0,67,66.0595024,0.000640342631,0,0,140,0,140,0
31,-0.00241019404,0.0014,0.000933333333,118.344619,1.50438151,0.739945286,118.346163,6115.74462,nan,5e-05,0,69,68.2063911,0.000609165852,0,0,140,0,140,0
32,-0.00246019404,0.00145,0.000966666667,122.04748,1.49878862,0.737194369,122.049019,6119.44748,nan,5e-05,0,71,70.3138812,0.00055112897,0,0,140,0,140,0
33,-0.00251019404,0.0015,0.001,125.740561,1.49344567,0.734566385,125.742091,6123.14056,nan,5e-05,0,75,74.3829949,0.000506356918,0,0,176,0,176,0
34,-0.00256019404,0.00155,0.00103333333,129.425365,1.48833755,0.732053904,129.426902,6126.82536,nan,5e-05,0,77,76.4525213,0.000461863167,0,0,176,0,176,0
35,-0.00261019404,0.0016,0.00106666667,133.101674,1.48344874,0.729649293,133.103203,6130.50167,nan,5e-05,0,79,78.5142467,0.000427271637,0,0,176,0,176,0
36,-0.00266019404,0.00165,0.0011,136.770363,1.47876582,0.727345951,136.771886,6134.17036,nan,5e-05,0,81,80.5784583,0.000373570926,0,0,176,0,176,0
37,-0.00271019404,0.0017,0.00113333333,140.432482,1.47427745,0.725138299,140.434,6137.83248,nan,5e-05,0,83,82.6048808,0.000351533169,0,0,176,0,176,0
38,-0.00276019404,0.00175,0.00116666667,144.087859,1.469972,0.723020618,144.089367,6141.48786,nan,5e-05,0,85,84.6899292,0.000324683601,0,0,176,0,176,0
39,-0.00281019404,0.0018,0.0012,147.73756,1.46583979,0.720988153,147.739055,6145.13756,nan,5e-05,0,89,88.8838613,0.000319222365,0,0,212,0,212,0
40,-0.00286019404,0.00185,0.00123333333,151.381235,1.4618707,0.719035913,151.382726,6148.78124,nan,5e-05,0,91,90.9401948,0.000315701883,0,0,212,0,212,0
41,-0.00291019404,0.0019,0.00126666667,155.01974,1.45805609,0.717159658,155.021217,6152.41974,nan,5e-05,0,93,93.0187223,0.000312253459,0,0,212,0,212,0
42,-0.00296019404,0.00195,0.0013,158.653316,1.4543878,0.715355372,158.654786,6156.05332,nan,5e-05,0,95,95.0774319,0.000311595172,0,0,212,0,212,0
43,-0.00301019404,0.002,0.00133333333,162.281657,1.45085744,0.713618933,162.283116,6159.68166,nan,5e-05,0,97,97.1377218,0.000307004593,0,0,212,0,212,0
44,-0.00306019404,0.00205,0.00136666667,165.906536,1.44745912,0.711947431,165.907988,6163.30654,nan,5e-05,0,99,99.2203879,0.000314302888,0,0,212,0,212,0
45,-0.00311019404,0.0021,0.0014,169.526943,1.44418565,0.710337345,169.52839,6166.92694,nan,5e-05,0,103,103.374963,0.000298690608,0,0,220,0,220,0
46,-0.00316019404,0.00215,0.00143333333,173.143501,1.44103085,0.708785622,173.144924,6170.5435,nan,5e-05,0,105,105.447503,0.00030473733,0,0,220,0,220,0
47,-0.00321019404,0.0022,0.00146666667,176.756459,1.43798891,0.707289415,176.757884,6174.15646,nan,5e-05,0,107,107.534448,0.000294053232,0,0,220,0,220,0
48,-0.00326019404,0.00225,0.0015,180.366306,1.43505469,0.705846189,180.367721,6177.76631,nan,5e-05,0,109,109.649248,0.000283996034,0,0,220,0,220,0
49,-0.00331019404,0.0023,0.00153333333,183.972998,1.43222308,0.704453434,183.974402,6181.373,nan,5e-05,0,111,111.744901,0.000303695208,0,0,220,0,220,0
50,-0.00336019404,0.00235,0.00156666667,187.576603,1.42948918,0.703108736,187.578001,6184.9766,nan,5e-05,0,113,113.856552,0.000283268582,0,0,220,0,220,0
51,-0.00346019404,0.00245,0.00163333333,194.795353,1.42653927,0.701657795,194.79892,6192.19535,nan,0.0001,0,115,116.563307,0.000436292623,0,0,220,0,220,0
52,-0.00356019404,0.00255,0.0017,202.04059,1.42346289,0.700144643,202.046376,6199.44059,nan,0.0001,0,117,119.236056,0.00060014371,0,0,220,0,220,0
53,-0.00366019404,0.00265,0.00176666667,209.253187,1.42028912,0.698583591,209.259131,6206.65319,nan,0.0001,0,119,121.962544,0.000679739686,0,0,220,0,220,0
54,-0.00376019404,0.00275,0.00183333333,216.417404,1.41703075,0.696980932,216.422622,6213.8174,nan,0.0001,0,121,124.682447,0.000819253461,0,0,220,0,220,0
55,-0.00386019404,0.00285,0.0019,223.551397,1.41371463,0.695349863,223.556148,6220.9514,nan,0.0001,0,123,127.454867,0.00099493131,0,0,220,0,220,0
56,-0.00396019404,0.00295,0.00196666667,230.676603,1.41038082,0.693710096,230.681314,6228.0766,nan,0.0001,0,125,130.238102,0.00116071863,0,0,220,0,220,0
57,-0.00406019404,0.00305,0.00203333333,237.805298,1.40707164,0.692082443,237.810199,6235.2053,nan,0.0001,0,127,132.998212,0.00125276961,0,0,220,0,220,0
58,-0.00416019404,0.00315,0.0021,244.942165,1.40382416,0.690485134,244.947262,6242.34216,nan,0.0001,0,129,135.744218,0.0012944975,0,0,220,0,220,0
59,-0.00426019404,0.00325,0.00216666667,252.086779,1.40066655,0.688932035,252.091976,6249.48678,nan,0.0001,0,131,138.506293,0.00128149858,0,0,220,0,220,0
60,-0.00436019404,0.00335,0.00223333333,259.237685,1.39761863,0.687432881,259.242821,6256.63769,nan,0.0001,0,133,141.282722,0.00121473283,0,0,220,0,220,0
61,-0.00446019404,0.00345,0.0023,266.393747,1.3946934,0.685994079,266.398803,6263.79375,nan,0.0001,0,135,144.038589,0.00114105652,0,0,220,0,220,0
62,-0.00456019404,0.00355,0.00236666667,273.5532,1.39189802,0.684619141,273.558092,6270.9532,nan,0.0001,0,137,146.813745,0.00106303713,0,0,220,0,220,0
63,-0.00466019404,0.00365,0.00243333333,280.71504,1.38923542,0.683309517,280.719799,6278.11504,nan,0.0001,0,139,149.592917,0.000969143713,0,0,220,0,220,0
64,-0.00476019404,0.00375,0.0025,287.878442,1.38670545,0.682065126,287.883055,6285.27844,nan,0.0001,0,141,152.366611,0.000872362057,0,0,220,0,220,0
65,-0.00486019404,0.00385,0.00256666667,295.043167,1.38430591,0.680884885,295.047684,6292.44317,nan,0.0001,0,143,155.738147,0.000820403897,0,0,220,0,220,0
66,-0.00496019404,0.00395,0.00263333333,302.207972,1.38203258,0.679766726,302.212378,6299.60797,nan,0.0001,0,145,158.56128,0.000748656467,0,0,220,0,220,0
67,-0.00506019404,0.00405,0.0027,309.37286,1.37988047,0.678708188,309.377186,6306.77286,nan,0.0001,0,147,161.342632,0.000713110768,0,0,220,0,220,0
68,-0.00516019404,0.00415,0.00276666667,316.538881,1.37784459,0.67770682,316.543136,6313.93888,nan,0.0001,0,149,164.187845,0.000704487775,0,0,220,0,220,0
69,-0.00526019404,0.00425,0.00283333333,323.705086,1.37591914,0.676759769,323.709256,6321.10509,nan,0.0001,0,151,166.997824,0.000683935231,0,0,220,0,220,0
70,-0.00536019404,0.00435,0.0029,330.872558,1.37409872,0.675864378,330.876716,6328.27256,nan,0.0001,0,153,169.815783,0.000700164199,0,0,220,0,220,0
71,-0.00546019404,0.00445,0.00296666667,338.041811,1.37237809,0.675018069,338.045877,6335.44181,nan,0.0001,0,155,172.642858,0.000705459977,0,0,220,0,220,0
72,-0.00556019404,0.00455,0.00303333333,345.213517,1.37075229,0.674218403,345.217536,6342.61352,nan,0.0001,0,157,175.453792,0.000735580207,0,0,220,0,220,0
73,-0.00566019404,0.00465,0.0031,352.389059,1.36921696,0.673463231,352.393057,6349.78906,nan,0.0001,0,159,178.320103,0.000760767854,0,0,220,0,220,0
74,-0.00576019404,0.00475,0.00316666667,359.568457,1.36776771,0.672750406,359.572413,6356.96846,nan,0.0001,0,161,181.146353,0.000770105556,0,0,220,0,220,0
75,-0.00586019404,0.00485,0.00323333333,366.752372,1.36640049,0.672077926,366.756266,6364.15237,nan,0.0001,0,163,184.027664,0.000790436667,0,0,220,0,220,0
76,-0.00596019404,0.00495,0.0033,373.941477,1.36511154,0.671443939,373.945357,6371.34148,nan,0.0001,0,165,186.893428,0.000786446605,0,0,220,0,220,0
77,-0.00606019404,0.00505,0.00336666667,381.136026,1.36389721,0.670846662,381.139834,6378.53603,nan,0.0001,0,167,189.741756,0.000781411948,0,0,220,0,220,0
78,-0.00616019404,0.00515,0.00343333333,388.336816,1.36275424,0.670284479,388.340586,6385.73682,nan,0.0001,0,169,192.680591,0.000773486585,0,0,220,0,220,0
79,-0.00626019404,0.00525,0.0035,395.54405,1.36167945,0.669755832,395.547771,6392.94405,nan,0.0001,0,171,195.605771,0.000751896032,0,0,220,0,220,0
80,-0.00636019404,0.00535,0.00356666667,402.757405,1.36066964,0.669259147,402.761084,6400.15741,nan,0.0001,0,173,198.50096,0.000744985224,0,0,220,0,220,0
81,-0.00646019404,0.00545,0.00363333333,409.978211,1.35972211,0.668793098,409.98184,6407.37821,nan,0.0001,0,175,201.407699,0.000717989062,0,0,220,0,220,0
82,-0.00656019404,0.00555,0.0037,417.205362,1.35883391,0.668356226,417.20894,6414.60536,nan,0.0001,0,177,204.272987,0.000706372318,0,0,220,0,220,0
83,-0.00666019404,0.00565,0.00376666667,424.439642,1.3580024,0.667947239,424.443132,6421.83964,nan,0.0001,0,179,207.149987,0.000696546357,0,0,220,0,220,0
84,-0.00676019404,0.00575,0.00383333333,431.680273,1.35722483,0.667564783,431.683764,6429.08027,nan,0.0001,0,181,210.016139,0.000690670596,0,0,220,0,220,0
85,-0.00686019404,0.00585,0.0039,438.92788,1.35649875,0.667207651,438.931249,6436.32788,nan,0.0001,0,183,212.886097,0.000701119346,0,0,220,0,220,0
86,-0.00696019404,0.00595,0.00396666667,446.181684,1.35582159,0.666874586,446.185024,6443.58168,nan,0.0001,0,185,215.768945,0.000705704126,0,0,220,0,220,0
87,-0.00706019404,0.00605,0.00403333333,453.441944,1.35519101,0.666564428,453.44525,6450.84194,nan,0.0001,0,187,218.681194,0.000716072429,0,0,220,0,220,0
88,-0.00716019404,0.00615,0.0041,460.707992,1.35460461,0.666276001,460.711205,6458.10799,nan,0.0001,0,189,221.606021,0.000721637118,0,0,220,0,220,0
89,-0.00726019404,0.00625,0.00416666667,467.981254,1.35406046,0.666008354,467.984423,6465.38125,nan,0.0001,0,191,224.541932,0.000716949302,0,0,220,0,220,0
90,-0.00736019404,0.00635,0.00423333333,475.260278,1.35355639,0.665760422,475.263451,6472.66028,nan,0.0001,0,193,227.508512,0.000715828546,0,0,220,0,220,0
91,-0.00746019404,0.00645,0.0043,482.545617,1.35309048,0.665531261,482.548659,6479.94562,nan,0.0001,0,195,230.444616,0.000715393506,0,0,220,0,220,0
92,-0.00756019404,0.00655,0.00436666667,489.837853,1.35266105,0.665320039,489.840897,6487.23785,nan,0.0001,0,197,233.353582,0.000707361903,0,0,220,0,220,0
93,-0.00766019404,0.00665,0.00443333333,497.136466,1.35226636,0.665125911,497.139488,6494.53647,nan,0.0001,0,199,236.285335,0.000711922995,0,0,220,0,220,0
94,-0.00776019404,0.00675,0.0045,504.441318,1.35190479,0.664948067,504.44423,6501.84132,nan,0.0001,0,201,239.294514,0.000685282936,0,0,220,0,220,0
95,-0.00786019404,0.00685,0.00456666667,511.753059,1.35157489,0.664785802,511.755951,6509.15306,nan,0.0001,0,203,242.220258,0.000682494395,0,0,220,0,220,0
96,-0.00796019404,0.00695,0.00463333333,519.072044,1.35127537,0.664638479,519.074978,6516.47204,nan,0.0001,0,205,245.155201,0.000676813716,0,0,220,0,220,0
97,-0.00806019404,0.00705,0.0047,526.398372,1.351005,0.664505498,526.401211,6523.79837,nan,0.0001,0,207,248.134643,0.000662119099,0,0,220,0,220,0
98,-0.00816019404,0.00715,0.00476666667,533.731648,1.35076256,0.664386252,533.734471,6531.13165,nan,0.0001,0,209,251.067598,0.000662445611,0,0,220,0,220,0
99,-0.00826019404,0.00725,0.00483333333,541.072528,1.35054699,0.664280218,541.07528,6538.47253,nan,0.0001,0,211,254.021539,0.000662232708,0,0,220,0,220,0
100,-0.00836019404,0.00735,0.0049,548.42144,1.35035732,0.664186931,548.424222,6545.82144,nan,0.0001,0,213,256.959169,0.000645081437,0,0,220,0,220,0
101,-0.00846019404,0.00745,0.00496666667,555.777311,1.35019249,0.664105856,555.780017,6553.17731,nan,0.0001,0,215,259.898297,0.000649343784,0,0,220,0,220,0
102,-0.00856019404,0.00755,0.00503333333,563.140484,1.35005151,0.664036513,563.143149,6560.54048,nan,0.0001,0,217,262.857454,0.000636742864,0,0,220,0,220,0
103,-0.00866019404,0.00765,0.0051,590.468097,1.35300089,0.665487194,590.88371,6587.8681,nan,0.0001,0,219,267.624929,0.0384976198,0,0,220,0,220,0
104,-0.00876019404,0.00775,0.00516666667,606.480594,1.35704538,0.667476518,606.819726,6603.88059,nan,0.0001,0,221,271.002827,0.0394500145,0,0,220,0,220,0
105,-0.00886019404,0.00785,0.00523333333,614.749076,1.36094367,0.669393933,614.762265,6612.14908,nan,0.0001,0,223,274.876567,0.0262750905,0,0,220,0,220,0
106,-0.00896019404,0.00795,0.0053,621.635721,1.36450609,0.671146146,621.472775,6619.03572,nan,0.0001,0,225,278.696085,0.0164464338,0,0,220,0,220,0
107,-0.00906019404,0.00805,0.00536666667,630.005944,1.3679641,0.672847002,629.838919,6627.40594,nan,0.0001,1,229,284.545787,0.0216466965,0,0,221,0,221,0
